step.no,tss.mean,tss.sd,a.mean,a.sd,d.mean,d.sd,b.mean,b.sd,c.mean,c.sd
1.0,0.29993062064498555,0.11037570130691927,0.041603417108893724,0.025241338860453048,0.41044523750749834,0.0877387080252566,0.5432880153610963,0.08836460408020838,0.004663330022511657,0.003548489967837524
2.0,0.3945500709686258,0.12015775380668993,0.041603417108893724,0.025241338860453048,0.5002565699861685,0.05810029953078561,0.4534766828824261,0.0650179443393486,0.004663330022511657,0.003548489967837524
3.0,0.5715438829515778,0.13097110472172438,0.03848275314314618,0.023394469849290767,0.7291205184467886,0.07533199220073504,0.22461273442180607,0.06869963193199748,0.0077839939882592,0.005051320510496742
NA,0.6652147508320548,0.08755459817482841,0.0402714007894432,0.023977615625401547,0.7687075285316508,0.04886274064824647,0.1850257243369438,0.03230586736770046,0.005995346341962185,0.00506164979883768
