inference,AUC,TSS,sd.TSS,Threshold,mean.fp,sd.fp,mean.fn,sd.fn
Wb * trait,0.8224712189509864,0.6449424379019729,0.09863510282216083,"NA",0.1966166560134153,0.034092414997434824,0.006899046773536259,0.0059110181318070805
Neutral,0.8225008978255635,0.645001795651127,0.09859543152293795,1e-09,0.19656263991661843,0.03417515055605317,0.006899046773536259,0.0059110181318070805
Neutral Fish correction,0.8342226058051025,0.6684452116102051,0.10668875022764777,1.5e-05,0.16756212643676932,0.03422202926717712,0.0075481377095604025,0.007375624514053712
