Threshold,site,TPR,FPR
1.5e-09,Venlaw,1,0.9655737704918033
1.5e-09,Sutton,1,0.9785478547854786
1.5e-09,Powder,1,0.994277539341917
1.5e-09,NorthCol,1,0.9983416252072969
1.5e-09,AkatoreB,1,1
1.5e-09,Canton,1,1
1.5e-09,Catlins,1,1
1.5e-09,Healy,1,1
1.5e-09,Narrowdale,1,1
1.5e-09,Stony,1,1
1.5e-10,Dempsters,0.6346153846153846,0.32466442953020136
1.5e-10,Little,0.7241379310344828,0.35384615384615387
1.5e-10,German,1,0.9803921568627451
1.5e-10,Blackrock,1,0.9975961538461539
1.5e-10,AkatoreB,1,1
1.5e-10,Berwick,1,1
1.5e-10,Broad,1,1
1.5e-10,Canton,1,1
1.5e-10,Catlins,1,1
1.5e-10,Healy,1,1
1.5e-10,Kyeburn,1,1
1.5e-10,Narrowdale,1,1
1.5e-10,NorthCol,1,1
1.5e-10,Powder,1,1
1.5e-10,Stony,1,1
1.5e-10,Sutton,1,1
1.5e-10,Venlaw,1,1
1.5e-11,Dempsters,0.8269230769230769,0.6115771812080537
1.5e-11,Little,0.9310344827586207,0.8307692307692308
1.5e-11,AkatoreB,1,1
1.5e-11,Berwick,1,1
1.5e-11,Blackrock,1,1
1.5e-11,Broad,1,1
1.5e-11,Canton,1,1
1.5e-11,Catlins,1,1
1.5e-11,German,1,1
1.5e-11,Healy,1,1
1.5e-11,Kyeburn,1,1
1.5e-11,Narrowdale,1,1
1.5e-11,NorthCol,1,1
1.5e-11,Powder,1,1
1.5e-11,Stony,1,1
1.5e-11,Sutton,1,1
1.5e-11,Venlaw,1,1
1.5e-12,Dempsters,0.9519230769230769,0.8942953020134228
1.5e-12,AkatoreB,1,1
1.5e-12,Berwick,1,1
1.5e-12,Blackrock,1,1
1.5e-12,Broad,1,1
1.5e-12,Canton,1,1
1.5e-12,Catlins,1,1
1.5e-12,German,1,1
1.5e-12,Healy,1,1
1.5e-12,Kyeburn,1,1
1.5e-12,Little,1,1
1.5e-12,Narrowdale,1,1
1.5e-12,NorthCol,1,1
1.5e-12,Powder,1,1
1.5e-12,Stony,1,1
1.5e-12,Sutton,1,1
1.5e-12,Venlaw,1,1
1e-04,Dempsters,0,0.008389261744966443
1e-04,Little,0,0.023076923076923078
1e-04,Narrowdale,0.16666666666666666,0.0979020979020979
1e-04,German,0.18181818181818182,0.0661764705882353
1e-04,Berwick,0.2222222222222222,0.046485260770975055
1e-04,Canton,0.25,0.038157894736842106
1e-04,Venlaw,0.26666666666666666,0.07213114754098361
1e-04,Broad,0.32142857142857145,0.04551045510455105
1e-04,Powder,0.3333333333333333,0.044349070100143065
1e-04,Blackrock,0.36,0.04326923076923077
1e-04,Kyeburn,0.39285714285714285,0.04790419161676647
1e-04,Healy,0.4146341463414634,0.085
1e-04,Stony,0.41935483870967744,0.055776892430278883
1e-04,Sutton,0.47368421052631576,0.0429042904290429
1e-04,NorthCol,0.5,0.04975124378109453
1e-04,Catlins,0.5,0.11605415860735009
1e-04,AkatoreB,1,0.9953051643192489
1e-05,Little,0,0.046153846153846156
1e-05,Dempsters,0.009615384615384616,0.022651006711409395
1e-05,Canton,0.25,0.06578947368421052
1e-05,Narrowdale,0.25,0.38461538461538464
1e-05,Powder,0.36666666666666664,0.07296137339055794
1e-05,Berwick,0.3888888888888889,0.060090702947845805
1e-05,Stony,0.41935483870967744,0.10624169986719788
1e-05,Broad,0.4642857142857143,0.08241082410824108
1e-05,Kyeburn,0.5,0.06786427145708583
1e-05,Catlins,0.5,0.29206963249516443
1e-05,German,0.5151515151515151,0.12745098039215685
1e-05,Venlaw,0.5333333333333333,0.13442622950819672
1e-05,Blackrock,0.56,0.06490384615384616
1e-05,NorthCol,0.5909090909090909,0.06135986733001658
1e-05,Healy,0.6097560975609756,0.2325
1e-05,Sutton,0.7894736842105263,0.056105610561056105
1e-05,AkatoreB,1,1
1e-06,Dempsters,0.10576923076923077,0.051174496644295304
1e-06,Little,0.20689655172413793,0.11923076923076924
1e-06,Canton,0.25,0.10657894736842105
1e-06,Berwick,0.3888888888888889,0.11904761904761904
1e-06,Broad,0.4642857142857143,0.14022140221402213
1e-06,Stony,0.5161290322580645,0.48339973439575035
1e-06,Kyeburn,0.5357142857142857,0.15568862275449102
1e-06,Blackrock,0.56,0.0673076923076923
1e-06,Powder,0.5666666666666667,0.20457796852646637
1e-06,NorthCol,0.5909090909090909,0.14759535655058043
1e-06,Venlaw,0.6,0.24918032786885247
1e-06,German,0.6363636363636364,0.21323529411764705
1e-06,Narrowdale,0.6666666666666666,0.752913752913753
1e-06,Sutton,0.7894736842105263,0.07590759075907591
1e-06,Healy,0.8048780487804879,0.6075
1e-06,Catlins,0.8333333333333334,0.6595744680851063
1e-06,AkatoreB,1,1
1e-07,Dempsters,0.22115384615384615,0.08473154362416108
1e-07,Little,0.3448275862068966,0.18076923076923077
1e-07,Canton,0.5,0.3618421052631579
1e-07,Berwick,0.5,0.4671201814058957
1e-07,Broad,0.5357142857142857,0.3800738007380074
1e-07,Blackrock,0.56,0.19951923076923078
1e-07,German,0.696969696969697,0.35294117647058826
1e-07,Kyeburn,0.75,0.4311377245508982
1e-07,Venlaw,0.8,0.5344262295081967
1e-07,NorthCol,0.8181818181818182,0.6252072968490879
1e-07,Sutton,0.8421052631578947,0.24092409240924093
1e-07,Powder,0.8666666666666667,0.5822603719599427
1e-07,Stony,0.9354838709677419,0.9216467463479415
1e-07,Healy,0.975609756097561,0.935
1e-07,Catlins,1,0.9361702127659575
1e-07,Narrowdale,1,0.965034965034965
1e-07,AkatoreB,1,1
1e-08,Dempsters,0.4326923076923077,0.13926174496644295
1e-08,Little,0.5862068965517241,0.26153846153846155
1e-08,Berwick,0.7777777777777778,0.8854875283446711
1e-08,Broad,0.8571428571428571,0.8031980319803198
1e-08,Canton,0.875,0.843421052631579
1e-08,Kyeburn,0.8928571428571429,0.8243512974051896
1e-08,NorthCol,0.9545454545454546,0.9618573797678275
1e-08,Blackrock,0.96,0.7379807692307693
1e-08,German,0.9696969696969697,0.6862745098039216
1e-08,Sutton,1,0.7211221122112211
1e-08,Venlaw,1,0.8377049180327869
1e-08,Powder,1,0.9241773962804005
1e-08,Healy,1,0.9975
1e-08,AkatoreB,1,1
1e-08,Catlins,1,1
1e-08,Narrowdale,1,1
1e-08,Stony,1,1
1e-09,Dempsters,0.5288461538461539,0.2181208053691275
1e-09,Little,0.6896551724137931,0.28076923076923077
1e-09,Kyeburn,0.9642857142857143,0.9900199600798403
1e-09,German,1,0.9191176470588235
1e-09,Venlaw,1,0.9770491803278688
1e-09,Blackrock,1,0.9783653846153846
1e-09,Broad,1,0.980319803198032
1e-09,Sutton,1,0.9818481848184818
1e-09,Berwick,1,0.9988662131519275
1e-09,AkatoreB,1,1
1e-09,Canton,1,1
1e-09,Catlins,1,1
1e-09,Healy,1,1
1e-09,Narrowdale,1,1
1e-09,NorthCol,1,1
1e-09,Powder,1,1
1e-09,Stony,1,1
1e-10,Dempsters,0.6442307692307693,0.35822147651006714
1e-10,Little,0.7241379310344828,0.40384615384615385
1e-10,German,1,0.9901960784313726
1e-10,AkatoreB,1,1
1e-10,Berwick,1,1
1e-10,Blackrock,1,1
1e-10,Broad,1,1
1e-10,Canton,1,1
1e-10,Catlins,1,1
1e-10,Healy,1,1
1e-10,Kyeburn,1,1
1e-10,Narrowdale,1,1
1e-10,NorthCol,1,1
1e-10,Powder,1,1
1e-10,Stony,1,1
1e-10,Sutton,1,1
1e-10,Venlaw,1,1
1e-11,Dempsters,0.8557692307692307,0.6644295302013423
1e-11,Little,1,0.9153846153846154
1e-11,AkatoreB,1,1
1e-11,Berwick,1,1
1e-11,Blackrock,1,1
1e-11,Broad,1,1
1e-11,Canton,1,1
1e-11,Catlins,1,1
1e-11,German,1,1
1e-11,Healy,1,1
1e-11,Kyeburn,1,1
1e-11,Narrowdale,1,1
1e-11,NorthCol,1,1
1e-11,Powder,1,1
1e-11,Stony,1,1
1e-11,Sutton,1,1
1e-11,Venlaw,1,1
1e-12,Dempsters,0.9615384615384616,0.927013422818792
1e-12,AkatoreB,1,1
1e-12,Berwick,1,1
1e-12,Blackrock,1,1
1e-12,Broad,1,1
1e-12,Canton,1,1
1e-12,Catlins,1,1
1e-12,German,1,1
1e-12,Healy,1,1
1e-12,Kyeburn,1,1
1e-12,Little,1,1
1e-12,Narrowdale,1,1
1e-12,NorthCol,1,1
1e-12,Powder,1,1
1e-12,Stony,1,1
1e-12,Sutton,1,1
1e-12,Venlaw,1,1
3e-04,Dempsters,0,0.006711409395973154
3e-04,Little,0,0.023076923076923078
3e-04,German,0.030303030303030304,0.031862745098039214
3e-04,Blackrock,0.08,0.016826923076923076
3e-04,Narrowdale,0.08333333333333333,0.07925407925407925
3e-04,Canton,0.125,0.02894736842105263
3e-04,Broad,0.14285714285714285,0.02214022140221402
3e-04,Kyeburn,0.14285714285714285,0.02594810379241517
3e-04,Sutton,0.15789473684210525,0.013201320132013201
3e-04,Venlaw,0.2,0.040983606557377046
3e-04,Berwick,0.2222222222222222,0.02834467120181406
3e-04,Powder,0.26666666666666666,0.03862660944206009
3e-04,Healy,0.2926829268292683,0.065
3e-04,Stony,0.3225806451612903,0.041168658698539175
3e-04,NorthCol,0.36363636363636365,0.04145936981757877
3e-04,Catlins,0.4166666666666667,0.09090909090909091
3e-04,AkatoreB,0.9166666666666666,0.9671361502347418
3e-05,Little,0,0.03076923076923077
3e-05,Dempsters,0.009615384615384616,0.014261744966442953
3e-05,Narrowdale,0.16666666666666666,0.17715617715617715
3e-05,Canton,0.25,0.06447368421052632
3e-05,Berwick,0.3333333333333333,0.05895691609977324
3e-05,Venlaw,0.3333333333333333,0.11147540983606558
3e-05,German,0.36363636363636365,0.09558823529411764
3e-05,Powder,0.36666666666666664,0.06437768240343347
3e-05,Stony,0.41935483870967744,0.06108897742363878
3e-05,Broad,0.42857142857142855,0.05904059040590406
3e-05,Healy,0.43902439024390244,0.14
3e-05,Kyeburn,0.4642857142857143,0.05588822355289421
3e-05,Catlins,0.5,0.16827852998065765
3e-05,Blackrock,0.56,0.06009615384615385
3e-05,NorthCol,0.5909090909090909,0.05970149253731343
3e-05,Sutton,0.7368421052631579,0.054455445544554455
3e-05,AkatoreB,1,1
3e-06,Dempsters,0.038461538461538464,0.040268456375838924
3e-06,Little,0.13793103448275862,0.09615384615384616
3e-06,Canton,0.25,0.07631578947368421
3e-06,Narrowdale,0.3333333333333333,0.5990675990675991
3e-06,Berwick,0.3888888888888889,0.08503401360544217
3e-06,Powder,0.4,0.12017167381974249
3e-06,Stony,0.45161290322580644,0.24169986719787517
3e-06,Broad,0.4642857142857143,0.11316113161131611
3e-06,Kyeburn,0.5,0.09381237524950099
3e-06,Venlaw,0.5333333333333333,0.18524590163934426
3e-06,Blackrock,0.56,0.06490384615384616
3e-06,German,0.5757575757575758,0.16666666666666666
3e-06,Catlins,0.5833333333333334,0.4835589941972921
3e-06,NorthCol,0.5909090909090909,0.0779436152570481
3e-06,Healy,0.7073170731707317,0.395
3e-06,Sutton,0.7894736842105263,0.06105610561056106
3e-06,AkatoreB,1,1
3e-07,Dempsters,0.14423076923076922,0.06963087248322147
3e-07,Little,0.2413793103448276,0.13076923076923078
3e-07,Canton,0.3333333333333333,0.19605263157894737
3e-07,Broad,0.4642857142857143,0.23493234932349324
3e-07,Berwick,0.5,0.23129251700680273
3e-07,Blackrock,0.56,0.08413461538461539
3e-07,NorthCol,0.6363636363636364,0.3548922056384743
3e-07,German,0.6666666666666666,0.2622549019607843
3e-07,Venlaw,0.6666666666666666,0.3737704918032787
3e-07,Stony,0.7096774193548387,0.747675962815405
3e-07,Kyeburn,0.7142857142857143,0.2754491017964072
3e-07,Powder,0.7333333333333333,0.37339055793991416
3e-07,Sutton,0.7894736842105263,0.13036303630363036
3e-07,Healy,0.8536585365853658,0.83
3e-07,Narrowdale,0.9166666666666666,0.9067599067599068
3e-07,Catlins,1,0.8433268858800773
3e-07,AkatoreB,1,1
3e-08,Dempsters,0.3076923076923077,0.11073825503355705
3e-08,Little,0.41379310344827586,0.21923076923076923
3e-08,Berwick,0.6111111111111112,0.7154195011337868
3e-08,Blackrock,0.72,0.5
3e-08,Canton,0.75,0.6092105263157894
3e-08,German,0.7575757575757576,0.5196078431372549
3e-08,Broad,0.7857142857142857,0.6420664206642066
3e-08,Venlaw,0.8,0.7098360655737705
3e-08,Sutton,0.8421052631578947,0.4405940594059406
3e-08,Kyeburn,0.8928571428571429,0.6407185628742516
3e-08,NorthCol,0.9545454545454546,0.8325041459369817
3e-08,Powder,0.9666666666666667,0.7811158798283262
3e-08,Healy,1,0.9825
3e-08,Catlins,1,0.9845261121856866
3e-08,Narrowdale,1,0.986013986013986
3e-08,Stony,1,0.9893758300132802
3e-08,AkatoreB,1,1
3e-09,Dempsters,0.5,0.17197986577181207
3e-09,Little,0.6896551724137931,0.28076923076923077
3e-09,Broad,0.9285714285714286,0.942189421894219
3e-09,Berwick,0.9444444444444444,0.9671201814058957
3e-09,Canton,0.9583333333333334,0.9763157894736842
3e-09,Kyeburn,0.9642857142857143,0.9481037924151696
3e-09,German,0.9696969696969697,0.8161764705882353
3e-09,Blackrock,1,0.8966346153846154
3e-09,Sutton,1,0.9125412541254125
3e-09,Venlaw,1,0.9393442622950819
3e-09,Powder,1,0.9814020028612304
3e-09,NorthCol,1,0.988391376451078
3e-09,AkatoreB,1,1
3e-09,Catlins,1,1
3e-09,Healy,1,1
3e-09,Narrowdale,1,1
3e-09,Stony,1,1
3e-10,Dempsters,0.6057692307692307,0.27181208053691275
3e-10,Little,0.6896551724137931,0.2923076923076923
3e-10,German,1,0.9779411764705882
3e-10,Blackrock,1,0.9975961538461539
3e-10,Sutton,1,0.9983498349834984
3e-10,Venlaw,1,0.9983606557377049
3e-10,AkatoreB,1,1
3e-10,Berwick,1,1
3e-10,Broad,1,1
3e-10,Canton,1,1
3e-10,Catlins,1,1
3e-10,Healy,1,1
3e-10,Kyeburn,1,1
3e-10,Narrowdale,1,1
3e-10,NorthCol,1,1
3e-10,Powder,1,1
3e-10,Stony,1,1
3e-11,Dempsters,0.7596153846153846,0.514261744966443
3e-11,Little,0.896551724137931,0.6846153846153846
3e-11,AkatoreB,1,1
3e-11,Berwick,1,1
3e-11,Blackrock,1,1
3e-11,Broad,1,1
3e-11,Canton,1,1
3e-11,Catlins,1,1
3e-11,German,1,1
3e-11,Healy,1,1
3e-11,Kyeburn,1,1
3e-11,Narrowdale,1,1
3e-11,NorthCol,1,1
3e-11,Powder,1,1
3e-11,Stony,1,1
3e-11,Sutton,1,1
3e-11,Venlaw,1,1
3e-12,Dempsters,0.9134615384615384,0.8238255033557047
3e-12,Little,1,0.9769230769230769
3e-12,AkatoreB,1,1
3e-12,Berwick,1,1
3e-12,Blackrock,1,1
3e-12,Broad,1,1
3e-12,Canton,1,1
3e-12,Catlins,1,1
3e-12,German,1,1
3e-12,Healy,1,1
3e-12,Kyeburn,1,1
3e-12,Narrowdale,1,1
3e-12,NorthCol,1,1
3e-12,Powder,1,1
3e-12,Stony,1,1
3e-12,Sutton,1,1
3e-12,Venlaw,1,1
5.9e-05,Little,0,0.03076923076923077
5.9e-05,Dempsters,0.009615384615384616,0.014261744966442953
5.9e-05,Narrowdale,0.16666666666666666,0.11421911421911422
5.9e-05,German,0.24242424242424243,0.07107843137254902
5.9e-05,Canton,0.25,0.05394736842105263
5.9e-05,Berwick,0.2777777777777778,0.05215419501133787
5.9e-05,Powder,0.3333333333333333,0.05293276108726753
5.9e-05,Venlaw,0.3333333333333333,0.08852459016393442
5.9e-05,Broad,0.35714285714285715,0.04920049200492005
5.9e-05,Stony,0.41935483870967744,0.05976095617529881
5.9e-05,Healy,0.43902439024390244,0.1025
5.9e-05,Kyeburn,0.4642857142857143,0.05189620758483034
5.9e-05,Blackrock,0.48,0.055288461538461536
