card,m,y,catchname,catch,locality,time,org,map,east,north,altitude,penet,fishmeth,effort,pass,spcode,abund,number,minl,maxl,nzreach
15176,12,1996,Taieri R,743.73,Sow Burn,1130,otfg,h42,2278600,5551200,370,185,ef,22,1,angdie,,2,550,670,14035265
15176,12,1996,Taieri R,743.73,Sow Burn,1130,otfg,h42,2278600,5551200,370,185,ef,22,1,onctsh,,3,78,,14035265
15177,12,1996,Taieri R,743,Taieri River,1330,otfg,h42,2271000,5538100,375,207,ef,300,1,onctsh,,2,80,,14042138
15177,12,1996,Taieri R,743,Taieri River,1330,otfg,h42,2271000,5538100,375,207,ef,300,1,saltru,a,,,,14042138
15186,5,2002,Taieri R,743,Owhiro Stream,1005,otfg,i44,2304400,5476900,10,35,ef,50,1,nospec,,,,,14061783
15187,5,2002,Taieri R,743,Owhiro Stream,1115,otfg,i44,2301100,5475400,5,31,ef,82,2,gobcot,,5,50,79,14062273
15187,5,2002,Taieri R,743,Owhiro Stream,1115,otfg,i44,2301100,5475400,5,31,ef,82,2,saltru,,7,74,126,14062273
15187,5,2002,Taieri R,743,Owhiro Stream,1115,otfg,i44,2301100,5475400,5,31,ef,82,2,galmac,,6,51,108,14062273
15188,5,2002,Taieri R,743,Owhiro Stream,1400,otfg,i44,2299300,5474900,5,29,ef,,1,perflu,,1,80,,14062390
15188,5,2002,Taieri R,743,Owhiro Stream,1400,otfg,i44,2299300,5474900,5,29,ef,,1,gobcot,,4,65,70,14062390
15188,5,2002,Taieri R,743,Owhiro Stream,1400,otfg,i44,2299300,5474900,5,29,ef,,1,saltru,,2,122,220,14062390
15510,2,1996,Taieri R,743.84,Styx Creek tributary,1100,doco,h43,2274600,5525700,940,230,efp,20,1,nospec,,0,,,14046645
15511,2,1996,Taieri R,743.862,McPhees Creek tributary,1300,doco,h43,2272400,5522200,1000,243,efp,10,1,galdep,a,,,,14048078
15512,2,1996,Taieri R,743.84,Styx Creek tributary,1330,doco,h43,2271500,5524300,940,228,efp,10,1,nospec,,0,,,14047288
15513,2,1996,Taieri R,743.862,McPhees Creek,1415,doco,h43,2272900,5521100,1030,245,han,6,,galdep,a,,,,14048271
15514,2,1996,Taieri R,743.865,McHardies Creek tributary,1500,doco,h43,2272800,5519400,980,256,efp,30,1,galdep,a,,,,14048850
15545,1,1995,Taieri R,743.86,Logan Burn tributary,1345,doco,h43,2261400,5511500,850,259,efp,40,1,galdep,c,,,110,14051156
15546,1,1995,Taieri R,743,Taieri River tributary,1300,doco,h43,2259500,5511900,800,268,efp,20,1,galdep,a,,30,79,14051120
15547,1,1995,Taieri R,743,Taieri River,1615,doco,h43,2258300,5510300,770,266,efp,100,1,galdep,c,,,,14051668
15548,1,1995,Taieri R,743,Taieri River,1145,doco,h43,2255500,5513700,570,259,efp,25,1,saltru,c,,,,14050627
15576,3,1996,Taieri R,743,Taieri River tributary,1200,doco,i42,2293700,5549400,380,154,efp,2,1,parane,o,,,,14036968
