locality,spcode,mean.min,mean.max
Red Swamp Creek,galaxi,70.0,140.0
Red Swamp Creek,galdep,58.0,95.0
Red Swamp Creek,galpul,30.0,100.0
Riddles Creek,galdep,34.0,87.0
Rock Creek,angdie,224.0,800.0
Rock Creek,saltru,42.666666666666664,204.33333333333334
Rock Creek tributary,saltru,49.666666666666664,123.0
Ross Stream,galaxi,43.0,85.0
Ross Stream,galdep,41.0,76.0
Ross Stream,gobbre,50.0,73.0
Ross Stream,saltru,83.0,140.0
Ross Stream tributary,galdep,66.0,101.0
Rutherfords Dam,gobcot,70.0,105.0
Rutherfords Dam,saltru,300.0,790.0
Scrub Burn tributary,galano,55.5,73.5
Scrub Burn tributary,galaxi,30.0,66.0
Scrub Burn tributary,gobbre,10.0,60.0
Scrub Burn tributary,saltru,36.0,185.0
Serpentine Creek,saltru,75.0,160.0
Shepherd Stream tributary,galeld,73.0,97.5
Shepherd Stream tributary,galpul,41.096774193548384,123.51612903225806
Shepherd Stream tributary,salfon,72.0,122.875
Shepherds Creek,galano,51.0,86.0
Shepherds Hut Creek,saltru,42.5,126.5
Silver Stream,angdie,250.0,350.0
Silver Stream,galmac,60.0,90.0
Silver Stream,gobcot,49.5,79.25
Silver Stream,saltru,72.5,154.42857142857142
Silver Stream tributary,saltru,103.0,129.0
Smugglers Creek,galeld,57.0,88.0
Sow Burn,angdie,384.3333333333333,713.3333333333334
Sow Burn,galdep,48.25,103.5
Sow Burn,saltru,42.93333333333333,164.06666666666666
Sow Burn tributary,galdep,70.0,75.0
Sow Burn tributary,saltru,29.0,57.0
Sow Burn water race,saltru,32.0,138.0
Spec Gully,angdie,660.0,660.0
Spec Gully,galano,42.371428571428574,84.94285714285714
Spec Gully,saltru,91.5,123.0
Spillers Creek,galaxi,40.0,60.0
Spillers Creek,saltru,100.0,250.0
Spratts Creek,galano,50.0,80.0
Stony Creek,galbre,112.0,179.0
Stony Creek,galdep,70.0,120.0
Stony Creek,galeld,53.25,94.0
Stony Creek,saltru,60.0,134.0
Stony Creek tributary,galeld,66.0,90.4
Sutton Stream,angdie,280.0,908.0
Sutton Stream,geoaus,57.0,112.0
Sutton Stream,saltru,60.5,152.83333333333334
Sutton Stream tributary,saltru,30.0,83.33333333333333
Swin Burn,saltru,78.33333333333333,278.3333333333333
Swin Burn tributary,galano,30.0,105.0
Swin Burn tributary,saltru,50.0,190.0
Taieri River,galaxi,69.0,81.0
Taieri River,onctsh,124.0,159.0
Taieri River,perflu,257.0,373.0
Taieri River,retret,93.0,103.0
Taieri River,rhoret,325.0,380.0
Taieri River,saltru,153.375,336.125
Taieri River tributary,galano,47.0,87.0
Taieri River tributary,galdep,50.0,103.0
Taieri River tributary,galfas,61.333333333333336,188.33333333333334
Taieri River tributary,galmac,83.0,120.0
Taieri River tributary,galpul,59.0,95.0
Taieri River tributary,saltru,43.0,135.0
Three O'clock Stream,galdep,49.61538461538461,109.3076923076923
Three O'clock Stream,saltru,68.33333333333333,157.83333333333334
Three O'clock Stream tributary,angdie,250.0,800.0
Three O'clock Stream tributary,galbre,97.0,152.875
Three O'clock Stream tributary,galdep,41.34375,101.1875
Three O'clock Stream tributary,galeld,39.333333333333336,83.0
Three O'clock Stream tributary,parane,20.0,50.0
Totara Creek,galaxi,44.1875,114.25
Totara Creek,galdep,30.0,80.0
Totara Creek bypass,galaxi,50.0,70.0
Totara Creek tributary,galdep,30.0,80.0
Traquair Burn,angdie,280.0,552.5
Traquair Burn,galeld,65.0,87.0
Traquair Burn,saltru,90.0,162.0
Waipori River tributary,galbre,71.55555555555556,155.33333333333334
Waipori River tributary,galpul,61.95,113.3
Waipori River tributary,salfon,76.25,178.54166666666666
Waipori River tributary,saltru,70.75,182.5
Wandle Creek,saltru,77.0,112.0
Washpool Stream,galdep,46.333333333333336,91.66666666666667
Wee Cap Burn,galdep,80.0,85.0
Wee Cap Burn tributary,galaxi,10.0,15.0
Wee Cap Burn tributary,galdep,46.0,81.0
West Branch Ewe Burn,galano,35.0,80.0
West Branch Ewe Burn,saltru,86.0,216.16666666666666
Wether Burn,angdie,300.0,550.0
Wether Burn,galano,60.0,75.0
Wether Burn,salfon,50.0,180.0
Wether Burn,salmo,20.0,30.0
Wether Burn,saltru,94.66666666666667,142.0
Wether Burn tributary,angdie,300.0,550.0
Wether Burn tributary,galano,48.0,61.0
Wether Burn tributary,galdep,81.5,106.5
Whare Creek,galeld,41.75,127.0
Whare Creek tributary,saltru,60.0,150.0
