inference,AUC,TSS,sd.TSS,Threshold,mean.fp,sd.fp,mean.fn,sd.fn
Initial,0.5457250921724367,0.09145018434487347,0.07407088444998647,"NA",0.8325124801353545,0.09860040757306472,0.0013488165611856488,0.0019199395480222585
Niche,0.6512945922917683,0.3025891845835368,0.1061441841935878,"NA",0.6338551370579013,0.11004705112930102,0.0013488165611856488,0.0019199395480222585
Neutral,0.5803097468819338,0.07868273699625,0.07868273699625,0.00059,0.293480886721731,0.0819096411423837,0.03610023725767934,0.026261129113628115
Niche + Neutral,0.6508684746140376,0.3017369492280752,0.10626574066931702,1.5e-08,0.6324766462676458,0.11217230271394016,0.0015648809483730308,0.0024430652197387293
