consumer,resource,source.id,res.order,res.family,res.genus,res.method,con.order,con.family,con.genus,con.method,linkevidence
Anguilla,Helicopsyche,Dempsters,Trichoptera,Helicopsychidae,Helicopsyche,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Austrosimulium,Little,Diptera,Simuliidae,Austrosimulium,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Hydora.adult,Little,Coleoptera,Elmidae,Hydora.adult,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Zephlebia,Dempsters,Ephemeroptera,Leptophlebiidae,Zephlebia,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Hydrobiosis,Little,Trichoptera,Hydrobiosidae,Hydrobiosis,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Orthocladiinae,Little,Diptera,Chironomidae,NA,family,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Pirara,Little,Diptera,Chironomidae,Pirara,family,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Tanypodinae,Dempsters,Diptera,Chironomidae,NA,family,Anguilliformes,Anguillidae,Anguilla,genus,direct
Aoteapsyche,Hydora.adult,Healy,Coleoptera,Elmidae,Hydora.adult,genus,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Pirara,Sutton,Diptera,Chironomidae,Pirara,family,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Pirara,Canton,Diptera,Chironomidae,Pirara,family,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Deleatidium,Kyeburn,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Oligochaeta,NorthCol,Oligochaeta,NA,NA,order,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
