inference,AUC,TSS,sd.TSS,Threshold,mean.fp,sd.fp,mean.fn,sd.fn
Webbuilder initial,0.8286376567605679,0.6572753135211358,0.09978050991122434,"NA",0.20415799988671138,0.03591048588971787,0.005898363956206279,0.005496664861880235
Neutral,0.829054968854875,0.65810993770975,0.09969633662716214,1e-09,0.20341905968253055,0.03476475846762023,0.005898363956206279,0.005496664861880235
Neutral Fish correction,0.8418587440453987,0.6837174880907976,0.10609009567393139,1.5e-05,0.1723776480024197,0.035569846198339354,0.006547454892230423,0.006804380724005896
