inference,AUC,TSS,Threshold,mean.fp,sd.fp,mean.fn,sd.fn
Initial,0.5419729044512988,0.07862209208190474,"NA",0.8376908569922625,0.08952566055435913,0.0019890917270508823,0.0026304065047311506
Niche,0.6345183310653195,0.26903666213063904,"NA",0.28618366698994524,0.11832474845590855,0.029313444149590136,0.021498424183504394
Neutral,0.5920785993286736,0.12181068211926552,0.00015,0.6571847476258548,0.1097470699107538,0.0019890917270508823,0.0026304065047311506
Niche + Neutral,0.6345923539630692,0.26918470792613847,1e-08,0.6570485820485127,0.10998597278486741,0.0019890917270508823,0.0026304065047311506
