consumer,resource,res.category,res.order,res.family,res.subfamily,res.genus,res.species,res.method,con.category,con.order,con.family,con.subfamily,con.genus,con.species,con.method,linkevidence,source.id
Anguilla,Ameletopsis,Invertebrate,Ephemeroptera,Ameletopsidae,,Ameletopsis,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Galaxias,Ameletopsis,Invertebrate,Ephemeroptera,Ameletopsidae,,Ameletopsis,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Ameletopsis,Invertebrate,Ephemeroptera,Ameletopsidae,,Ameletopsis,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Paranephrops zealandicus,Ameletopsis,Invertebrate,Ephemeroptera,Ameletopsidae,,Ameletopsis,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Galaxias argenteus,Amphipoda,Invertebrate,Amphipoda,,,,,order,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Anguilla australis,Anguilla,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla dieffenbachii,Anguilla,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Galaxias argenteus,Anisops,Invertebrate,Hemiptera,Notonectidae,,Anisops,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Anguilla australis,Anisops,Invertebrate,Hemiptera,Notonectidae,,Anisops,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla australis,Anisoptera,Invertebrate,Odonata,,,,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla dieffenbachii,Anisoptera,Invertebrate,Odonata,,,,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Anguilla,Aoteapsyche,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Gobiomorphus,Aoteapsyche,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Salmo,Aoteapsyche,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,2
Archichauliodes,Aoteapsyche,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,,genus,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,,genus,direct,4
Anguilla dieffenbachii,Aoteapsyche,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,direct,5
Galaxias southern,Aoteapsyche,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,5
Galaxias vulgaris,Aoteapsyche,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias vulgaris,genus,direct,5
Gobiomorphus breviceps,Aoteapsyche,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,direct,5
Gobiomorphus cotidianus,Aoteapsyche,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus cotidianus,genus,direct,5
Salmo trutta,Aoteapsyche,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,5
Paranephrops zealandicus,Aoteapsyche,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Anguilla dieffenbachii,Aoteapsyche,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,15
Galaxias argenteus,Aoteapsyche colonica,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,Aoteapsyche colonica,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Anguilla,Aphrophila,Invertebrate,Diptera,Tipulidae,,Aphrophila,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Gobiomorphus breviceps,Aphrophila,Invertebrate,Diptera,Tipulidae,,Aphrophila,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,direct,5
Anguilla,Archichauliodes,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Galaxias,Archichauliodes,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Archichauliodes,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Galaxias argenteus,Archichauliodes diversus,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,Archichauliodes diversus,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Archichauliodes diversus,Archichauliodes diversus,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,Archichauliodes diversus,genus,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,Archichauliodes diversus,genus,,10
Anguilla dieffenbachii,Archichauliodes diversus,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,Archichauliodes diversus,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Anguilla australis,Archichauliodes diversus,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,Archichauliodes diversus,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,15
Anguilla dieffenbachii,Archichauliodes diversus,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,Archichauliodes diversus,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,15
Paranephrops zealandicus,Atalophlebioides,Invertebrate,Ephemeroptera,Leptophlebiidae,,Atalophlebioides,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Gobiomorphus breviceps,Austroclima,Invertebrate,Ephemeroptera,Leptophlebiidae,,Austroclima,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,direct,5
Salmo trutta,Austroclima,Invertebrate,Ephemeroptera,Leptophlebiidae,,Austroclima,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,5
Galaxias argenteus,Austroclima,Invertebrate,Ephemeroptera,Leptophlebiidae,,Austroclima,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Paranephrops zealandicus,Austroclima,Invertebrate,Ephemeroptera,Leptophlebiidae,,Austroclima,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Paranephrops zealandicus,Austroperla,Invertebrate,Plecoptera,Austroperlidae,,Austroperla,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Anguilla dieffenbachii,Austroperla,Invertebrate,Plecoptera,Austroperlidae,,Austroperla,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Anguilla,Austrosimulium,Invertebrate,Diptera,Simuliidae,,Austrosimulium,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Galaxias,Austrosimulium,Invertebrate,Diptera,Simuliidae,,Austrosimulium,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Austrosimulium,Invertebrate,Diptera,Simuliidae,,Austrosimulium,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Cheimarrichthys fosteri,Austrosimulium,Invertebrate,Diptera,Simuliidae,,Austrosimulium,,genus,Fish,Perciformes,Cheimarrichthyidae,,Cheimarrichthys,Cheimarrichthys fosteri,species,direct,5
Galaxias brevipinnis,Austrosimulium,Invertebrate,Diptera,Simuliidae,,Austrosimulium,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias brevipinnis,genus,direct,5
Galaxias vulgaris,Austrosimulium,Invertebrate,Diptera,Simuliidae,,Austrosimulium,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias vulgaris,genus,direct,5
Gobiomorphus breviceps,Austrosimulium,Invertebrate,Diptera,Simuliidae,,Austrosimulium,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,direct,5
Salmo trutta,Austrosimulium,Invertebrate,Diptera,Simuliidae,,Austrosimulium,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,5
Aoteapsyche colonica,Austrosimulium,Invertebrate,Diptera,Simuliidae,,Austrosimulium,,genus,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,Aoteapsyche colonica,genus,,8
Paranephrops zealandicus,Austrosimulium,Invertebrate,Diptera,Simuliidae,,Austrosimulium,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Galaxias argenteus,Austrosimulium tillyardianum Larvae,Invertebrate,Diptera,Simuliidae,,Austrosimulium,Austrosimulium tillyardianum Larvae,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Galaxias argenteus,Austrosimulium tillyardianum Pupae,Invertebrate,Diptera,Simuliidae,,Austrosimulium,Austrosimulium tillyardianum Pupae,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Hydrobiosis parumbripennis,Austrosimulium tilyardianum,Invertebrate,Diptera,Simuliidae,,Austrosimulium,Austrosimulium tilyardianum,genus,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,Hydrobiosis parumbripennis,genus,,9
Hydropsyche colonica,Austrosimulium tilyardianum,Invertebrate,Diptera,Simuliidae,,Austrosimulium,Austrosimulium tilyardianum,genus,Invertebrate,Trichoptera,Hydropsychidae,,Hydropsyche,Hydropsyche colonica,genus,,9
Galaxias vulgaris,Beraeoptera,Invertebrate,Trichoptera,Conoesucidae,,Beraeoptera,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias vulgaris,genus,direct,5
Salmo trutta,Beraeoptera,Invertebrate,Trichoptera,Conoesucidae,,Beraeoptera,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,5
Paranephrops zealandicus,Beraeoptera,Invertebrate,Trichoptera,Conoesucidae,,Beraeoptera,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Galaxias brevipinnis,Beraeoptera,Invertebrate,Trichoptera,Conoesucidae,,Beraeoptera,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias brevipinnis,genus,,15
Galaxias argenteus,Beraeoptera roria,Invertebrate,Trichoptera,Conoesucidae,,Beraeoptera,Beraeoptera roria,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Galaxias argenteus,Ceratopogonidae,Invertebrate,Diptera,Ceratopogonidae,,,,family,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Ameletopsis,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Ephemeroptera,Ameletopsidae,,Ameletopsis,,genus,direct,2
Anguilla,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Aoteapsyche,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,,genus,direct,2
Archichauliodes,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,,genus,direct,2
Costachorema,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Trichoptera,Hydrobiosidae,,Costachorema,,genus,direct,2
Galaxias,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Hydrobiosis,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,direct,2
Psilochorema,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Trichoptera,Hydrobiosidae,,Psilochorema,,genus,direct,2
Salmo,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,2
Stenoperla,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,,genus,direct,2
Tanypodinae,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Diptera,Chironomidae,Tanypodinae,,,subfamily,direct,2
Costachorema,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Trichoptera,Hydrobiosidae,,Costachorema,,genus,direct,3
Edpercivalia,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Trichoptera,Hydrobiosidae,,Edpercivalia,,genus,direct,3
Polyplectropus,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Trichoptera,Polycentropidae,,Polyplectropus,,genus,direct,3
Stenoperla,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,,genus,direct,3
Aphrophila,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Diptera,Tipulidae,,Aphrophila,,genus,direct,4
Archichauliodes,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,,genus,direct,4
Hydrobiosella,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Trichoptera,Philopotamidae,,Hydrobiosella,,genus,direct,4
Platyhelminthes,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Platyhelminthes,,,,,order,direct,4
Stenoperla,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,,genus,direct,4
Galaxias argenteus,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Galaxias argenteus,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Galaxias argenteus,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Aoteapsyche colonica,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,Aoteapsyche colonica,genus,,8
Hydrobiosis parumbripennis,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,Hydrobiosis parumbripennis,genus,,9
Hydropsyche colonica,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Trichoptera,Hydropsychidae,,Hydropsyche,Hydropsyche colonica,genus,,9
Archichauliodes diversus,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,Archichauliodes diversus,genus,,10
Stenoperla prasina,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,Stenoperla prasina,genus,,10
Anguilla dieffenbachii,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Anguilla australis,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla australis,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,15
Gobiomorphus huttoni,Chironomidae,Invertebrate,Diptera,Chironomidae,,,,family,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus huttoni,genus,,15
Gobiomorphus breviceps,Chironominae,Invertebrate,Diptera,Chironomidae,Chironominae,,,family,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,direct,5
Galaxias argenteus,Coleoptera,Invertebrate,Coleoptera,,,,,order,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Galaxias argenteus,Coleoptera,Invertebrate,Coleoptera,,,,,order,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Anguilla,Coloburiscus,Invertebrate,Ephemeroptera,Coloburiscidae,,Coloburiscus,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Galaxias,Coloburiscus,Invertebrate,Ephemeroptera,Coloburiscidae,,Coloburiscus,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Coloburiscus,Invertebrate,Ephemeroptera,Coloburiscidae,,Coloburiscus,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Salmo,Coloburiscus,Invertebrate,Ephemeroptera,Coloburiscidae,,Coloburiscus,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,2
Stenoperla,Coloburiscus,Invertebrate,Ephemeroptera,Coloburiscidae,,Coloburiscus,,genus,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,,genus,direct,4
Gobiomorphus breviceps,Coloburiscus,Invertebrate,Ephemeroptera,Coloburiscidae,,Coloburiscus,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,direct,5
Gobiomorphus huttoni,Coloburiscus,Invertebrate,Ephemeroptera,Coloburiscidae,,Coloburiscus,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus huttoni,genus,,15
Galaxias argenteus,Coloburiscus humeralis,Invertebrate,Ephemeroptera,Coloburiscidae,,Coloburiscus,Coloburiscus humeralis,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Archichauliodes diversus,Coloburiscus humeralis,Invertebrate,Ephemeroptera,Coloburiscidae,,Coloburiscus,Coloburiscus humeralis,genus,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,Archichauliodes diversus,genus,,10
Stenoperla prasina,Coloburiscus humeralis,Invertebrate,Ephemeroptera,Coloburiscidae,,Coloburiscus,Coloburiscus humeralis,genus,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,Stenoperla prasina,genus,,10
Anguilla dieffenbachii,Colobursicus,Invertebrate,Ephemeroptera,Coloburiscidae,,Coloburiscus,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Anguilla,Costachorema,Invertebrate,Trichoptera,Hydrobiosidae,,Costachorema,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Gobiomorphus,Costachorema,Invertebrate,Trichoptera,Hydrobiosidae,,Costachorema,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Salmo,Costachorema,Invertebrate,Trichoptera,Hydrobiosidae,,Costachorema,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,2
Gobiomorphus breviceps,Costachorema,Invertebrate,Trichoptera,Hydrobiosidae,,Costachorema,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,direct,5
Salmo trutta,Costachorema,Invertebrate,Trichoptera,Hydrobiosidae,,Costachorema,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,5
Cheimarrichthys fosteri,Costachorema xanthopterum,Invertebrate,Trichoptera,Hydrobiosidae,,Costachorema,,genus,Fish,Perciformes,Cheimarrichthyidae,,Cheimarrichthys,Cheimarrichthys fosteri,species,direct,5
Salmo trutta,Costachorema xanthopterum,Invertebrate,Trichoptera,Hydrobiosidae,,Costachorema,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,5
Aoteapsyche,CPOM,CPOM,,,,,,category,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,,genus,direct,4
Chironomidae,CPOM,CPOM,,,,,,category,Invertebrate,Diptera,Chironomidae,,,,family,direct,4
Diamesinae,CPOM,CPOM,,,,,,category,Invertebrate,Diptera,Chironomidae,Diamesinae,,,subfamily,direct,4
Eriopterini,CPOM,CPOM,,,,,,category,Invertebrate,Diptera,Tipulidae,,Eriopterini,,genus,direct,4
Hydrobiosella,CPOM,CPOM,,,,,,category,Invertebrate,Trichoptera,Philopotamidae,,Hydrobiosella,,genus,direct,4
Hydrophilidae,CPOM,CPOM,,,,,,category,Invertebrate,Coleoptera,Hydrophilidae,,,,family,direct,4
Spaniocerca,CPOM,CPOM,,,,,,category,Invertebrate,Plecoptera,Notonemouridae,,Spaniocerca,,genus,direct,4
Zelandobius,CPOM,CPOM,,,,,,category,Invertebrate,Plecoptera,Gripopterygidae,,Zelandobius,,genus,direct,4
Zelandoperla,CPOM,CPOM,,,,,,category,Invertebrate,Plecoptera,Gripopterygidae,,Zelandoperla,,genus,direct,4
Anguilla,Cricotopus,Invertebrate,Diptera,Chironomidae,Orthocladiinae,,,family,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Paranephrops zealandicus,Cricotopus,Invertebrate,Diptera,Chironomidae,Orthocladiinae,,,family,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Anguilla australis,Culicidae,Invertebrate,Diptera,Culicidae,,,,family,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Deleatidium,Cymbella,Diatom,Cymbellales,Cymbellaceae,,Cymbella,,,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,direct,2
Ameletopsis,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Invertebrate,Ephemeroptera,Ameletopsidae,,Ameletopsis,,genus,direct,2
Anguilla,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Archichauliodes,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,,genus,direct,2
Galaxias,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Salmo,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,2
Stenoperla,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,,genus,direct,2
Archichauliodes,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,,genus,direct,3
Costachorema,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Invertebrate,Trichoptera,Hydrobiosidae,,Costachorema,,genus,direct,3
Edpercivalia,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Invertebrate,Trichoptera,Hydrobiosidae,,Edpercivalia,,genus,direct,3
Hydrobiosis,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,direct,3
Polyplectropus,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Invertebrate,Trichoptera,Polycentropidae,,Polyplectropus,,genus,direct,3
Stenoperla,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,,genus,direct,3
Aphrophila,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Invertebrate,Diptera,Tipulidae,,Aphrophila,,genus,direct,4
Archichauliodes,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,,genus,direct,4
Hydrobiosella,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Invertebrate,Trichoptera,Philopotamidae,,Hydrobiosella,,genus,direct,4
Stenoperla,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,,genus,direct,4
Anguilla dieffenbachii,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,direct,5
Cheimarrichthys fosteri,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Perciformes,Cheimarrichthyidae,,Cheimarrichthys,Cheimarrichthys fosteri,species,direct,5
Galaxias southern,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,5
Galaxias brevipinnis,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias brevipinnis,genus,direct,5
Galaxias paucispondylus,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias paucispondylus,genus,direct,5
Galaxias vulgaris,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias vulgaris,genus,direct,5
Gobiomorphus breviceps,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,direct,5
Salmo trutta,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,5
Galaxias argenteus,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
